sender_user_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,segment
U00001,2024-10-24 15:56:55,2,43578,67,3,2,2,Casual
U00002,2024-04-26 22:25:04,2,314326,248,1,2,4,Dormant
U00003,2024-04-30 12:02:22,1,17056,244,1,1,1,Dormant
U00004,2024-12-08 14:57:19,4,74078,22,4,3,2,Champions
U00005,2024-11-08 17:41:49,3,51729,52,3,2,2,Casual
U00006,2024-06-16 15:47:20,3,161449,197,1,2,3,Dormant
U00007,2024-11-02 15:36:37,3,74584,58,3,2,2,Casual
U00008,2024-07-30 21:19:07,2,241722,153,2,2,3,Dormant
U00009,2024-02-19 21:28:40,1,120392,315,1,1,3,Dormant
U00010,2024-10-19 16:28:51,3,480030,72,3,2,4,Casual
U00011,2024-11-11 20:58:09,5,212230,49,3,3,3,Loyal Customers
U00012,2024-10-14 11:35:05,2,235083,77,3,2,3,Casual
U00013,2024-11-10 08:35:17,4,343618,50,3,3,4,Loyal Customers
U00015,2024-10-27 20:14:57,4,989505,64,3,3,4,Loyal Customers
U00016,2024-10-05 15:13:32,5,675653,86,2,3,4,Can't Lose Them
U00017,2024-11-12 09:54:46,1,134104,48,3,1,3,Casual
U00018,2024-07-11 15:30:31,1,8282,172,1,1,1,Dormant
U00019,2024-11-18 13:38:00,1,18008,42,4,1,1,New Customers
U00020,2024-12-22 19:23:12,6,471757,8,4,3,4,Champions
U00021,2024-11-11 12:17:28,2,68674,49,3,2,2,Casual
U00022,2024-07-07 11:13:10,1,25475,176,1,1,1,Dormant
U00023,2024-03-02 16:33:06,3,520620,303,1,2,4,Dormant
U00024,2024-11-09 13:52:04,3,284028,51,3,2,4,Casual
U00025,2024-06-22 14:38:30,2,510620,191,1,2,4,Dormant
U00026,2024-09-05 10:47:13,3,167643,116,2,2,3,Dormant
U00027,2024-09-01 22:20:28,2,109349,120,2,2,2,Dormant
U00028,2024-11-03 16:40:52,1,316012,57,3,1,4,Casual
U00029,2024-10-05 16:43:24,2,211203,86,2,2,3,Dormant
U00030,2024-11-05 23:31:52,2,99165,55,3,2,2,Casual
U00031,2024-11-12 13:44:21,2,11433,48,3,2,1,Casual
U00032,2024-10-20 10:34:22,1,48096,71,3,1,2,Casual
U00033,2024-04-10 19:11:24,2,143138,264,1,2,3,Dormant
U00034,2024-07-21 15:28:09,4,284706,162,2,3,4,Can't Lose Them
U00035,2024-11-13 19:36:11,2,15550,47,3,2,1,Casual
U00036,2024-04-01 08:01:26,1,3053,273,1,1,1,Dormant
U00037,2024-12-19 12:50:26,2,17243,11,4,2,1,Potential Loyalists
U00038,2024-11-24 23:51:15,2,51756,36,4,2,2,Potential Loyalists
U00039,2024-11-06 11:15:14,2,238157,54,3,2,3,Casual
U00040,2024-01-29 16:14:46,1,71706,336,1,1,2,Dormant
U00041,2024-12-02 08:36:18,4,550296,28,4,3,4,Champions
U00042,2024-08-28 09:29:20,1,42090,124,2,1,2,Dormant
U00043,2024-11-08 22:42:24,1,10605,52,3,1,1,Casual
U00044,2024-12-23 23:42:50,5,140200,7,4,3,3,Champions
