user_id,gender,age_group,device_type,acquisition_channel,first_action_type,referral_generation,referred_by_user_id
U00001,M,10대,ios,organic,received,0,
U00002,M,20대,ios,organic,sent,0,
U00003,F,20대,android,gift_received,received,0,
U00004,F,40대,ios,gift_received,received,1,U00002
U00005,F,20대,android,organic,sent,1,U00003
U00006,F,40대,android,gift_received,received,3,U00004
U00007,F,20대,android,gift_received,received,1,U00002
U00008,M,10대,ios,organic,sent,0,
U00009,F,20대,android,ad,sent,1,U00005
U00010,M,30대,ios,gift_received,received,1,U00004
U00011,F,30대,android,gift_received,received,1,U00006
U00012,M,40대,ios,organic,sent,0,
U00013,F,50대+,android,ad,sent,1,U00011
U00014,F,20대,ios,gift_received,received,0,
U00015,F,40대,ios,organic,sent,3,U00002
U00016,M,40대,ios,organic,received,1,U00007
U00017,F,50대+,android,search,sent,2,U00004
U00018,M,30대,ios,gift_received,received,0,
U00019,F,30대,android,gift_received,received,0,
U00020,F,20대,android,gift_received,received,0,
U00021,M,30대,ios,gift_received,received,1,U00017
U00022,M,30대,android,organic,received,1,U00010
U00023,F,20대,android,organic,received,1,U00018
U00024,M,20대,ios,gift_received,received,0,
U00025,M,30대,ios,gift_received,received,1,U00007
U00026,M,30대,android,ad,sent,2,U00008
U00027,F,20대,android,organic,sent,0,
U00028,M,20대,android,gift_received,received,0,
U00029,F,30대,ios,organic,received,2,U00016
U00030,F,30대,ios,organic,sent,1,U00014
U00031,F,40대,android,search,sent,0,
U00032,F,40대,ios,organic,sent,1,U00009
U00033,F,40대,ios,gift_received,received,2,U00007
U00034,F,50대+,android,search,received,2,U00011
U00035,F,30대,android,search,sent,0,
U00036,F,40대,android,organic,received,1,U00032
U00037,F,20대,android,gift_received,received,1,U00021
U00038,F,30대,android,gift_received,received,0,
U00039,M,20대,ios,gift_received,received,1,U00016
U00040,F,50대+,android,gift_received,received,0,
U00041,F,30대,android,ad,received,0,
U00042,F,20대,ios,gift_received,received,1,U00005
U00043,F,30대,android,organic,sent,1,U00009
U00044,M,40대,android,ad,received,0,
U00045,M,30대,android,gift_received,received,0,
U00046,M,20대,android,search,sent,0,
U00047,F,30대,ios,gift_received,received,1,U00014
U00048,M,40대,android,organic,sent,2,U00041
U00049,F,20대,ios,gift_received,received,1,U00017
U00050,F,30대,android,gift_received,received,0,
U00051,M,30대,ios,organic,received,1,U00028
U00052,F,20대,android,gift_received,received,2,U00023
U00053,F,20대,ios,gift_received,received,2,U00027
U00054,M,40대,android,organic,received,0,
U00055,F,30대,ios,search,sent,1,U00043
U00056,M,40대,ios,gift_received,received,0,
U00057,M,40대,ios,gift_received,received,1,U00020
U00058,M,40대,ios,gift_received,received,1,U00018
U00059,M,50대+,ios,gift_received,received,1,U00054
U00060,F,40대,ios,search,received,0,
U00061,F,20대,ios,gift_received,received,0,
U00062,F,30대,ios,gift_received,received,0,
U00063,M,10대,android,gift_received,received,1,U00048
U00064,M,20대,ios,search,received,2,U00043
U00065,M,30대,ios,ad,sent,1,U00038
U00066,F,20대,android,ad,sent,1,U00039
U00067,F,40대,ios,organic,received,1,U00042
U00068,F,30대,ios,ad,received,2,U00022
U00069,M,20대,android,gift_received,received,0,
U00070,M,20대,ios,gift_received,received,0,
U00071,F,50대+,android,gift_received,received,1,U00025
U00072,M,30대,ios,organic,received,1,U00014
U00073,M,20대,android,gift_received,received,1,U00072
U00074,F,40대,ios,gift_received,received,1,U00072
U00075,F,50대+,android,gift_received,received,1,U00065
U00076,F,40대,ios,organic,sent,2,U00032
U00077,M,20대,android,ad,sent,0,
U00078,M,20대,ios,gift_received,received,0,
U00079,F,30대,ios,organic,sent,1,U00060
U00080,F,20대,ios,search,received,1,U00074
U00081,F,10대,ios,gift_received,received,2,U00054
U00082,F,40대,android,gift_received,received,1,U00035
U00083,F,10대,ios,gift_received,received,1,U00022
U00084,M,40대,android,gift_received,received,2,U00076
U00085,F,10대,android,organic,sent,1,U00049
U00086,F,30대,ios,gift_received,received,0,
U00087,M,30대,android,ad,sent,1,U00045
U00088,F,20대,android,organic,sent,0,
U00089,M,30대,ios,ad,received,0,
U00090,F,20대,ios,gift_received,received,2,U00015
U00091,M,20대,ios,gift_received,received,2,U00074
U00092,M,50대+,ios,gift_received,received,0,
U00093,M,30대,ios,gift_received,received,2,U00077
U00094,M,40대,android,organic,received,1,U00009
U00095,F,30대,android,gift_received,received,0,
U00096,M,30대,android,gift_received,received,1,U00094
U00097,F,30대,android,search,sent,1,U00094
U00098,F,20대,ios,search,sent,0,
U00099,M,30대,android,ad,sent,1,U00063
U00100,F,40대,ios,gift_received,received,1,U00036
U00101,F,30대,ios,organic,received,1,U00031
U00102,M,30대,android,gift_received,received,0,
U00103,F,30대,ios,gift_received,received,1,U00068
U00104,F,50대+,android,ad,sent,1,U00030
U00105,F,20대,ios,gift_received,received,1,U00024
U00106,F,40대,ios,gift_received,received,1,U00077
U00107,F,20대,ios,organic,sent,0,
U00108,F,20대,android,gift_received,received,1,U00017
U00109,M,40대,ios,organic,sent,0,
U00110,F,50대+,ios,gift_received,received,0,
U00111,F,30대,android,gift_received,received,0,
U00112,M,50대+,ios,organic,sent,1,U00077
U00113,M,20대,android,ad,received,1,U00055
U00114,F,30대,android,gift_received,received,2,U00027
U00115,M,20대,ios,organic,sent,1,U00053
U00116,F,30대,ios,organic,received,1,U00059
U00117,F,20대,ios,gift_received,received,1,U00103
U00118,M,30대,android,gift_received,received,2,U00106
U00119,F,10대,android,gift_received,received,2,U00118
U00120,F,20대,android,gift_received,received,2,U00065
U00121,F,30대,android,gift_received,received,1,U00078
U00122,F,20대,android,gift_received,received,1,U00003
U00123,M,30대,ios,organic,sent,1,U00084
U00124,F,20대,android,ad,received,2,U00061
U00125,F,20대,android,gift_received,received,0,
U00126,M,20대,android,gift_received,received,1,U00059
U00127,F,20대,ios,gift_received,received,2,U00106
U00128,M,30대,android,ad,sent,0,
U00129,M,30대,android,organic,received,1,U00113
U00130,M,30대,ios,gift_received,received,1,U00041
U00131,F,10대,ios,organic,sent,2,U00031
U00132,M,20대,android,organic,sent,1,U00124
U00133,M,20대,android,ad,sent,2,U00035
