campaign_id,campaign_name,channel,target_segment,occasion_category,occasion_subcategory,gift_occasion,message_type,message_variation,send_date,target_user_count
CMP001,2023_pepero_d7_A,brand_message,champions,special,seasonal,pepero_day,curation,A,2023-11-04,1537
CMP002,2023_pepero_d7_B,brand_message,champions,special,seasonal,pepero_day,ranking,B,2023-11-04,2439
CMP003,2023_pepero_d3_A,brand_message,at_risk,special,seasonal,pepero_day,seasonal,A,2023-11-08,1775
CMP004,2023_pepero_d3_B,brand_message,at_risk,special,seasonal,pepero_day,discount,B,2023-11-08,3201
CMP005,2023_val_d7_A,friendtalk,loyal_customers,special,seasonal,valentines_day,curation,A,2023-02-07,3290
CMP006,2023_val_d7_B,friendtalk,loyal_customers,special,seasonal,valentines_day,ranking,B,2023-02-07,3522
CMP007,2023_val_d3_A,brand_message,new_customers,special,seasonal,valentines_day,seasonal,A,2023-02-11,3539
CMP008,2023_val_d3_B,brand_message,new_customers,special,seasonal,valentines_day,discount,B,2023-02-11,3637
CMP009,2023_parents_d14_A,friendtalk,champions,special,seasonal,parents_day,curation,A,2023-04-24,3412
CMP010,2023_parents_d14_B,friendtalk,champions,special,seasonal,parents_day,seasonal,B,2023-04-24,2021
CMP011,2023_parents_d7_A,brand_message,need_attention,special,seasonal,parents_day,discount,A,2023-05-01,2541
CMP012,2023_parents_d7_B,brand_message,need_attention,special,seasonal,parents_day,ranking,B,2023-05-01,3816
CMP013,2023_teachers_d7_A,friendtalk,loyal_customers,special,seasonal,teachers_day,curation,A,2023-05-08,2838
CMP014,2023_teachers_d7_B,friendtalk,loyal_customers,special,seasonal,teachers_day,ranking,B,2023-05-08,3551
CMP015,2023_white_d3_A,brand_message,promising,special,seasonal,white_day,curation,A,2023-03-11,3703
CMP016,2023_white_d3_B,brand_message,promising,special,seasonal,white_day,discount,B,2023-03-11,2884
CMP017,2023_chuseok_d14_A,friendtalk,champions,special,seasonal,chuseok,seasonal,A,2023-09-15,3207
CMP018,2023_chuseok_d14_B,friendtalk,champions,special,seasonal,chuseok,curation,B,2023-09-15,1752
CMP019,2023_xmas_d7_A,brand_message,new_customers,special,seasonal,christmas,curation,A,2023-12-18,1979
CMP020,2023_xmas_d7_B,brand_message,new_customers,special,seasonal,christmas,seasonal,B,2023-12-18,3232
CMP021,2023_02_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2023-02-15,2722
CMP022,2023_02_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2023-02-15,2570
CMP023,2023_02_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2023-02-15,2845
CMP024,2023_02_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2023-02-15,2536
CMP025,2023_04_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2023-04-15,1357
CMP026,2023_04_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2023-04-15,1170
CMP027,2023_04_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2023-04-15,1315
CMP028,2023_04_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2023-04-15,2891
CMP029,2023_06_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2023-06-15,2783
CMP030,2023_06_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2023-06-15,1772
CMP031,2023_06_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2023-06-15,2362
CMP032,2023_06_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2023-06-15,2974
CMP033,2023_08_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2023-08-15,2020
CMP034,2023_08_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2023-08-15,2459
CMP035,2023_08_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2023-08-15,2610
CMP036,2023_08_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2023-08-15,2530
CMP037,2023_10_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2023-10-15,1215
CMP038,2023_10_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2023-10-15,1921
CMP039,2023_10_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2023-10-15,1804
CMP040,2023_10_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2023-10-15,1861
CMP041,2023_12_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2023-12-15,1582
CMP042,2023_12_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2023-12-15,2745
CMP043,2023_12_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2023-12-15,2499
CMP044,2023_12_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2023-12-15,1732
CMP045,2024_pepero_d7_A,brand_message,champions,special,seasonal,pepero_day,curation,A,2024-11-04,3841
CMP046,2024_pepero_d7_B,brand_message,champions,special,seasonal,pepero_day,ranking,B,2024-11-04,2778
CMP047,2024_pepero_d3_A,brand_message,at_risk,special,seasonal,pepero_day,seasonal,A,2024-11-08,2167
CMP048,2024_pepero_d3_B,brand_message,at_risk,special,seasonal,pepero_day,discount,B,2024-11-08,2463
CMP049,2024_val_d7_A,friendtalk,loyal_customers,special,seasonal,valentines_day,curation,A,2024-02-07,3789
CMP050,2024_val_d7_B,friendtalk,loyal_customers,special,seasonal,valentines_day,ranking,B,2024-02-07,3635
CMP051,2024_val_d3_A,brand_message,new_customers,special,seasonal,valentines_day,seasonal,A,2024-02-11,3433
CMP052,2024_val_d3_B,brand_message,new_customers,special,seasonal,valentines_day,discount,B,2024-02-11,3434
CMP053,2024_parents_d14_A,friendtalk,champions,special,seasonal,parents_day,curation,A,2024-04-24,2287
CMP054,2024_parents_d14_B,friendtalk,champions,special,seasonal,parents_day,seasonal,B,2024-04-24,2533
CMP055,2024_parents_d7_A,brand_message,need_attention,special,seasonal,parents_day,discount,A,2024-05-01,1648
CMP056,2024_parents_d7_B,brand_message,need_attention,special,seasonal,parents_day,ranking,B,2024-05-01,2613
CMP057,2024_teachers_d7_A,friendtalk,loyal_customers,special,seasonal,teachers_day,curation,A,2024-05-08,1758
CMP058,2024_teachers_d7_B,friendtalk,loyal_customers,special,seasonal,teachers_day,ranking,B,2024-05-08,3101
CMP059,2024_white_d3_A,brand_message,promising,special,seasonal,white_day,curation,A,2024-03-11,3754
CMP060,2024_white_d3_B,brand_message,promising,special,seasonal,white_day,discount,B,2024-03-11,1867
CMP061,2024_chuseok_d14_A,friendtalk,champions,special,seasonal,chuseok,seasonal,A,2024-09-15,1869
CMP062,2024_chuseok_d14_B,friendtalk,champions,special,seasonal,chuseok,curation,B,2024-09-15,1737
CMP063,2024_xmas_d7_A,brand_message,new_customers,special,seasonal,christmas,curation,A,2024-12-18,3149
CMP064,2024_xmas_d7_B,brand_message,new_customers,special,seasonal,christmas,seasonal,B,2024-12-18,3661
CMP065,2024_02_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2024-02-15,1475
CMP066,2024_02_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2024-02-15,2329
